location,type,status,latitude,longitude,description
North Broadway & W Balmoral Ave,Outdoor Mural,unknown,41.9799632, -87.6599908,"untitled mural, sole"
1900 N Damen Ave,tag/signature,unknown,41.9162222, -87.6776063,"signature, snacki"
North Paulina St & W Roscoe St,tag/signature,unknown,41.9426187, -87.7359019,"“face”, snacki"
3316 North Lincoln Ave,tag/signature,unknown,41.941936, -87.67052799999999,"“work hard to die”, snacki"
N Ashland Ave & W Division St.,tag/signature,unknown,41.9033301, -87.6675631,"signature, vtc crew"
Milwaukee Ave & N Ashland Ave.,tag/signature,unknown,41.9039716, -87.66742889999999,"signature, ice"
I-94 & W Roosevelt Rd,tribute,unknown,41.865578, -87.783383,"tribute honoring late artists afro and evol, unknown artist"
1200 W Randolph Street,tag/signature,unknown,41.884637, -87.6570519,"signature, xmen crew"
W Chicago Ave. & N Noble St.,tag/signature,unknown,41.8961508, -87.66238349999999,"signature, cmk crew"
W Grand Ave. & N Halsted St.,tag/signature,unknown,41.8911906, -87.6476173,"signature, unknown artist"
W 35th St. & S Wood St. ,tag/signature,gone,41.8304324, -87.6703957,"signature, 35th street crew"
S Ashland Ave. & W Roosevelt St.,tag/signature,unknown,41.86688609999999, -87.6663112,"signature, unknown artist"
S Damen Ave. & W 35th St.,tag/signature,unknown,41.8303782, -87.67528639999999,"signature, dst crew"
W Augusta Blvd. & N Wolcott Ave.,permission wall ,there,41.8995908, -87.6746955,"tin man mural, unknown artist"
S Damen Ave. & S Blue Island Ave.,Illegal Wall,unknown,41.8485561, -87.6757337,unknown artists
600 North Leavitt St.,Gang,unknown,41.89244799999999, -87.682103,"gang territory graffiti, satan disciples"
3516 West Leland Ave.,Gang ,unknown,41.9666438, -87.71671339999999,"gang territory graffiti, latin kings"
2617 W Glenlake Ave,Gang,unknown,41.9922036, -87.69520469999999,"gang territory graffiti, latin kings"
3231 S Morgan St.,Gang,unknown,41.835506, -87.65075999999999,"gang territory graffiti, satan disciples"
3201 S Lituanica Ave,Gang,unknown,41.836308, -87.64832299999999,"gang territory graffiti, various"
843 W 33rd St,Gang,unknown,41.834559, -87.647937,"gang territory graffiti, various"
3403 W Wilson Ave,Gang,unknown,41.96461370000001, -87.7135806,"gang territory graffiti, various"
1019 N Ashland Ave,Gang,unknown,41.9003029, -87.66699799999999,"gang territory graffiti, gangster disciples"
3738 W Lawrence Ave,Gang,unknown,41.9684018, -87.72221069999999,"gang territory graffiti, various"
4400 N Bernard St,Gang,unknown,41.9611338, -87.71438119999999,"gang territory graffiti, various"
N Damen Ave & W Haddon Ave,Stencil,unknown,41.9022424, -87.6772524,"“xmas2012”, left handed wave"
N Ashland Ave & W Cortland St,Stencil,unknown,41.91612019999999, -87.6677594,unknown artist
N Ashland Ave & W Fullerton Ave,Wheatpaste/sticker,unknown,41.9251473, -87.6680564,"untitled, left handed wave"
N California Ave. & W Thomas St,Wheatpaste/sticker,unknown,41.9010957, -87.6968528,"untitled, left handed wave"
W Logan Blvd & N Milwaukee Ave,Wheatpaste/sticker,unknown,41.9287538, -87.70688160000002,unknown artist
Irving Park Rd & N Ashland Ave,Wheatpaste/sticker,unknown,41.9543548, -87.6691046,unknown artist
N Milwaukee Ave & N Honore St,Stencil,unknown,41.90895709999999, -87.6752289,unknown artist
N Milwaukee Ave & Homer St,Wheatpaste/sticker,unknown,41.9166699, -87.6873203,unknown artist
Wicker Park,Wheatpaste/sticker,unknown,41.9088028, -87.6795985,unknown artist
